Smiles,Tg/℃
O=C(N1C2=CC=CC(N3C(C4=CC=C(OC5=CC=C(OC6=CC=CC(O[*])=C6)C=C5)C=C4C3=O)=O)=C2)C7=CC([*])=CC=C7C1=O,227
O=C(N1C2=CC=CC(N3C(C4=CC=C(OC5=CC=C(O[*])C=C5)C=C4C3=O)=O)=C2)C6=CC([*])=CC=C6C1=O,255
O=C(N1C2=CC=CC(N3C(C4=CC=C(OC5=CC=C(C6=CC=C(O[*])C=C6)C=C5)C=C4C3=O)=O)=C2)C7=CC([*])=CC=C7C1=O,247
O=C(N1C2=CC=CC(N3C(C4=CC=C(OC5=CC=C(C(C6=CC=CC(O[*])=C6)=O)C=C5)C=C4C3=O)=O)=C2)C7=CC([*])=CC=C7C1=O,239
O=C(N1C2=CC=CC(N3C(C4=CC=C(OC5=CC=C(C(C)(C)C6=CC=CC(O[*])=C6)C=C5)C=C4C3=O)=O)=C2)C7=CC([*])=CC=C7C1=O,215
O=C(N1C2=CC=CC(N3C(C4=CC=C(O[*])C=C4C3=O)=O)=C2)C5=CC([*])=CC=C5C1=O,261
O=C(N1C2=CC=CC(N3C(C4=CC=C(CC5=CC=C(C(C)(C)C6=CC=C(O[*])C=C6)C=C5)C=C4C3=O)=O)=C2)C7=CC([*])=CC=C7C1=O,215
O=C(N1C2=CC=CC(N3C(C4=CC=C(C(C(F)(F)F)(C(F)(F)F)[*])C=C4C3=O)=O)=C2)C5=CC([*])=CC=C5C1=O,297
O=C(N1C2=CC=CC(N3C(C4=CC=C(C([*])=O)C=C4C3=O)=O)=C2)C5=CC([*])=CC=C5C1=O,300
O=C(N1C2=CC=CC(N3C(C4=CC=C(C([*])=O)C=C4C3=O)=O)=C2)C5=CC([*])=CC=C5C1=O,300
O=C(N1C2=CC=CC(N3C(C(OC4=CC=C(C(C)(C)C5=CC=C([*])C=C5)C=C4)=C(Cl)C3=O)=O)=C2)C(Cl)=C([*])C1=O,163
O=C(N1C2=CC=CC(C(C3=CC=CC(N4C(C5=CC=CC(O[*])=C5C4=O)=O)=C3)=O)=C2)C6=C([*])C=CC=C6C1=O,234
O=C(N1C2=CC=CC(C(C3=CC=CC(N4C(C5=CC=C(O[*])C=C5C4=O)=O)=C3)=O)=C2)C6=C([*])C=CC=C6C1=O,243
